"Kerncijfers wijken en buurten 2025"
""
"";"";"Districts and neighborhoods"
"Subject";"";"The Netherlands";"Aa en Hunze";"District 00 Annen";"Annen";"Aalsmeer";"District 00 Aalsmeer";"Center"
"Wonen en vastgoed|Woningen naar bouwjaar|Bouwjaar afgelopen tien jaar";"%";"8";"5";"3";"3";"7";"12";"19"
"Energie|Gemiddelde elektriciteitslevering|Gemiddelde elektriciteitslevering totaal";"kWh";".";".";".";".";".";".";"."
"Energie|Gemiddelde elektriciteitslevering|Gemiddelde elektriciteitsteruglevering";"";".";".";".";".";".";".";"."
"Energie|Gemiddeld aardgasverbruik|Gemiddeld aardgasverbruik totaal";"m³";".";".";".";".";".";".";"."
"Energie|Gemiddeld aardgasverbruik|Percentage woningen met stadsverwarming";"%";".";".";".";".";".";".";"."
"Energie|Gemiddeld aardgasverbruik|Aardgasvrije woningen";"%";"";"";"";"";"";"";""
"Energie|Gemiddeld aardgasverbruik|Aardgaswoningen";"%";"";"";"";"";"";"";""
"Energie|Woningen met zonnestroom";"%";".";".";".";".";".";".";"."
"Energie|Woningen hoofdz. elektrisch verwarmd";"%";".";".";".";".";".";".";"."
"Energie|Aantal publieke laadpalen";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Onderwijssoort|Leerlingen po";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Onderwijssoort|Leerlingen vo (incl. vavo) ";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Onderwijssoort|Studenten mbo (excl. extranei)";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Onderwijssoort|Studenten hbo";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Onderwijssoort|Studenten wo";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Hoogst behaald onderwijsniveau|Basisonderwijs, vmbo, mbo1";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Hoogst behaald onderwijsniveau|Havo, vwo, mbo2-4";"aantal";".";".";".";".";".";".";"."
"Onderwijs|Hoogst behaald onderwijsniveau|Hbo, wo";"aantal";".";".";".";".";".";".";"."
"Arbeid|Werkzame beroepsbevolking";"aantal";".";".";".";".";".";".";"."
"Arbeid|Nettoarbeidsparticipatie";"%";".";".";".";".";".";".";"."
"Arbeid|Onderverdeling werkenden|Percentage werknemers";"%";".";".";".";".";".";".";"."
"Arbeid|Onderverdeling werkenden|Werknemers met vaste arbeidsr";"%";".";".";".";".";".";".";"."
"Arbeid|Onderverdeling werkenden|Werknemers met flexibele arbe";"%";".";".";".";".";".";".";"."
"Arbeid|Onderverdeling werkenden|Percentage zelfstandigen";"%";".";".";".";".";".";".";"."
"Inkomen|Personen|Aantal inkomensontvangers  ";"aantal";".";".";".";".";".";".";"."
"Inkomen|Personen|Gemiddeld inkomen per inkomensontvanger ";"x 1 000 euro";".";".";".";".";".";".";"."
"Inkomen|Personen|Gemiddeld inkomen per inwoner ";"x 1 000 euro";".";".";".";".";".";".";"."
"Inkomen|Personen|40% personen met laagste inkomen";"%";".";".";".";".";".";".";"."
"Inkomen|Personen|20% personen met hoogste inkomen";"%";".";".";".";".";".";".";"."
"Inkomen|Personen|Personen in armoede";"%";".";".";".";".";".";".";"."
"Inkomen|Personen|Personen tot 25% boven armoedegrens";"%";".";".";".";".";".";".";"."
"Inkomen|Huishoudens|Gem. gestandaardiseerd inkomen";"x 1 000 euro";".";".";".";".";".";".";"."
"Inkomen|Huishoudens|40% huishoudens met laagste inkomen";"%";".";".";".";".";".";".";"."
"Inkomen|Huishoudens|20% huishoudens met hoogste inkomen";"%";".";".";".";".";".";".";"."
"Inkomen|Huishoudens|Mediaan vermogen van particuliere huish.";"x 1 000 euro";".";".";".";".";".";".";"."
"Sociale zekerheid|Personen per soort uitkering; Bijstand";"aantal";".";".";".";".";".";".";"."
"Sociale zekerheid|Personen per soort uitkering; AO";"aantal";".";".";".";".";".";".";"."
"Sociale zekerheid|Personen per soort uitkering; WW";"aantal";".";".";".";".";".";".";"."
"Sociale zekerheid|Personen per soort uitkering; AOW";"aantal";".";".";".";".";".";".";"."
"Zorg|Jongeren met jeugdzorg in natura";"aantal";".";".";".";".";".";".";"."
"Zorg|Percentage jongeren met jeugdzorg";"%";".";".";".";".";".";".";"."
"Zorg|Wmo-cliënten";"aantal";".";".";".";".";".";".";"."
"Zorg|Wmo-cliënten relatief";"per 1 000 inwoners";".";".";".";".";".";".";"."
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen totaal";"aantal";"2551540";"3315";"415";"390";"5460";"2345";"600"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|A Landbouw, bosbouw en visserij";"aantal";"81035";"290";"20";"15";"105";"20";"0"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|B-F Nijverheid en energie";"aantal";"368615";"420";"55";"55";"775";"315";"65"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|G+I Handel en horeca";"aantal";"419230";"535";"60";"60";"1145";"515";"145"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|H+J Vervoer, informatie en communicatie";"aantal";"202150";"160";"20";"20";"500";"210";"40"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|K-L Financiële diensten, onroerend goed";"aantal";"123345";"155";"25";"25";"375";"170";"55"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|M-N Zakelijke dienstverlening";"aantal";"647530";"770";"115";"105";"1430";"605";"165"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|O-Q Overheid, onderwijs en zorg";"aantal";"435095";"615";"80";"75";"640";"265";"65"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|R-U Cultuur, recreatie, overige diensten";"aantal";"274540";"375";"40";"40";"495";"240";"60"
"Motorvoertuigen|Personenauto's|Personenauto's totaal";"aantal";"9247810";"16065";"2160";"2055";"17495";"7240";"1460"
"Motorvoertuigen|Personenauto's|Personenauto's; brandstoftype|Personenauto's; brandstof benzine";"aantal";"6861660";"11385";"1575";"1505";"13480";"5600";"1125"
"Motorvoertuigen|Personenauto's|Personenauto's; brandstoftype|Personenauto's; overige brandstof";"aantal";"2386150";"4685";"585";"550";"4015";"1640";"335"
"Motorvoertuigen|Personenauto's|Personenauto's per huishouden";"per huishouden";"1,1";"1,4";"1,3";"1,3";"1,2";"1,2";"1,0"
"Motorvoertuigen|Personenauto's|Personenauto's naar oppervlakte";"per km²";"275";"58";"147";"816";"870";"1032";"2751"
"Motorvoertuigen|Motorfietsen";"aantal";"720590";"1820";"215";"205";"1440";"540";"115"
"Nabijheid voorzieningen|Afstand tot huisartsenpraktijk";"km";"1,1";"2,4";"0,9";"0,8";"0,9";"0,9";"0,8"
"Nabijheid voorzieningen|Afstand tot grote supermarkt";"km";"1,0";"2,3";"0,9";"0,8";"0,8";"0,7";"0,5"
"Nabijheid voorzieningen|Afstand tot kinderdagverblijf";"km";"0,7";"1,2";"0,5";"0,5";"0,7";"0,6";"0,5"
"Nabijheid voorzieningen|Basisonderwijs|Afstand tot school";"km";"0,8";"1,2";"0,8";"0,7";"0,8";"0,8";"0,6"
"Nabijheid voorzieningen|Basisonderwijs|Scholen binnen 3 km";"aantal";"9,8";"1,8";"2,6";"2,7";"4,1";"3,4";"3,0"
"Oppervlakte|Oppervlakte totaal";"ha";"4154337";"27887";"1478";"252";"3229";"1440";"61"
"Oppervlakte|Oppervlakte land";"ha";"3364723";"27606";"1465";"252";"2010";"702";"53"
"Oppervlakte|Oppervlakte water";"ha";"789614";"281";"13";"0";"1219";"739";"8"
"Postcode|Meest voorkomende postcode";"code";".";".";".";"9468";".";".";"1431"
"Postcode|Dekkingspercentage";"code";".";".";".";"1";".";".";"1"
"Stedelijkheid|Mate van stedelijkheid";"code";"2";"5";"5";"5";"4";"3";"3"
"Stedelijkheid|Omgevingsadressendichtheid";"per km²";"2077";"285";"395";"410";"982";"1105";"1158"
"Bron: CBS"
